Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon10_5 , Comp ,10,6,0.2,0.5,9,0.882147,0," [[7, 9], [5], [6], [0], [3, 4], [1, 2]]",9,2,0.127277,0," [[0, 5], [2], [7], [1], [6, 9], [3, 4]]",9,2,0.131006,0," [[0, 5], [2], [7], [1], [6, 9], [3, 4]]"
eilon10_1 , Comp ,10,2,0.3,0.3,6,0.190799,0," [[0, 7], [4, 6, 8, 9]]",6,2,0.066943,0," [[4, 6, 8, 9], [0, 7]]",6,2,0.060335,0," [[4, 6, 8, 9], [0, 7]]"
eilon10_2 , Comp ,10,2,0.3,0.3,9,0.107226,0," [[1, 2, 6, 8, 9], [3, 4, 5, 7]]",9,0,0.026496,0," [[1, 2, 6, 8, 9], [3, 4, 5, 7]]",9,0,0.028018,0," [[1, 2, 6, 8, 9], [3, 4, 5, 7]]"
eilon10_3 , Comp ,10,2,0.3,0.3,8,0.092681,0," [[1, 2, 3, 4, 6], [0, 7, 9]]",8,4,0.092329,0," [[0, 5, 7], [1, 3, 4, 6, 9]]",8,4,0.106206,0," [[0, 5, 7], [1, 3, 4, 6, 9]]"
eilon10_4 , Comp ,10,2,0.3,0.3,9,0.104587,0," [[0, 2, 3, 4, 6], [1, 5, 8, 9]]",9,2,0.065174,0," [[0, 1, 4, 5, 8, 9], [2, 3, 6]]",9,2,0.062788,0," [[0, 1, 4, 5, 8, 9], [2, 3, 6]]"
eilon10_5 , Comp ,10,2,0.3,0.3,8,0.072878,0," [[2, 3, 4], [0, 5, 6, 7, 9]]",8,4,0.076855,0," [[0, 5, 6, 7], [1, 2, 3, 9]]",8,4,0.08038,0," [[0, 5, 6, 7], [1, 2, 3, 9]]"
eilon10_1 , Comp ,10,6,0.3,0.3,7,8.521728,0," [[1], [6, 8], [9], [2], [4], [5]]",7,0,0.063044,0," [[2, 5], [1], [8], [4], [9], [6]]",7,0,0.066624,0," [[2, 5], [1], [8], [4], [9], [6]]"
eilon10_2 , Comp ,10,6,0.3,0.3,9,0.85412,0," [[7], [3, 4], [6], [5], [2, 8, 9], [1]]",9,0,0.05587,0," [[2], [3, 4, 5, 7], [1], [8], [9], [6]]",9,0,0.063947,0," [[2], [3, 4, 5, 7], [1], [8], [9], [6]]"
eilon10_3 , Comp ,10,6,0.3,0.3,9,1.034829,0," [[1, 2], [0], [9], [4, 7], [3, 8], [6]]",9,0,0.059464,0," [[1, 6, 8], [7], [4], [0, 9], [2], [3]]",9,0,0.06123,0," [[1, 6, 8], [7], [4], [0, 9], [2], [3]]"
eilon10_4 , Comp ,10,6,0.3,0.3,10,0.407593,0," [[1, 5, 8], [0], [3], [9], [2, 4], [6, 7]]",10,4,0.182117,0," [[6, 7], [2, 3, 4], [1], [9], [0, 5], [8]]",10,4,0.200343,0," [[6, 7], [2, 3, 4], [1], [9], [0, 5], [8]]"
eilon10_5 , Comp ,10,6,0.3,0.3,9,0.769739,0," [[2], [0], [1, 4], [6], [7, 9], [3, 5]]",9,0,0.05839,0," [[3, 5], [1, 2, 4], [0], [9], [7], [6]]",9,0,0.060091,0," [[3, 5], [1, 2, 4], [0], [9], [7], [6]]"
eilon10_1 , Comp ,10,2,0.3,0.5,7,0.112108,0," [[4, 6, 8, 9], [1, 2, 5]]",7,0,0.01756,0," [[1, 2, 5], [4, 6, 8, 9]]",7,0,0.016129,0," [[1, 2, 5], [4, 6, 8, 9]]"
eilon10_2 , Comp ,10,2,0.3,0.5,9,0.088561,0," [[3, 4, 5, 7], [1, 2, 6, 8, 9]]",9,0,0.028284,0," [[3, 4, 5, 7], [1, 2, 6, 8, 9]]",9,0,0.028425,0," [[3, 4, 5, 7], [1, 2, 6, 8, 9]]"
eilon10_3 , Comp ,10,2,0.3,0.5,9,0.084282,0," [[1, 2, 3, 4, 6, 9], [0, 5, 7]]",9,0,0.029449,0," [[0, 5, 7], [1, 2, 3, 4, 6, 9]]",9,0,0.03074,0," [[0, 5, 7], [1, 2, 3, 4, 6, 9]]"
eilon10_4 , Comp ,10,2,0.3,0.5,9,0.115303,0," [[1, 5, 8, 9], [0, 2, 3, 4, 6]]",9,0,0.03284,0," [[3, 6, 7], [0, 1, 4, 5, 8, 9]]",9,0,0.035688,0," [[3, 6, 7], [0, 1, 4, 5, 8, 9]]"
eilon10_5 , Comp ,10,2,0.3,0.5,9,0.105139,0," [[0, 5, 6, 7, 9], [1, 2, 3, 4]]",9,0,0.025784,0," [[0, 5, 6, 7, 9], [1, 2, 3, 4]]",9,0,0.02794,0," [[0, 5, 6, 7, 9], [1, 2, 3, 4]]"
eilon10_1 , Comp ,10,6,0.3,0.5,8,30.643405,0," [[8, 9], [6], [1], [2, 5], [7], [4]]",8,0,0.05015,0," [[1, 2, 5], [8], [6], [9], [4], [7]]",8,0,0.050236,0," [[1, 2, 5], [8], [6], [9], [4], [7]]"
eilon10_2 , Comp ,10,6,0.3,0.5,10,0.165255,0," [[0, 4], [3], [6, 8], [5, 7], [9], [1, 2]]",10,0,0.049927,0," [[2, 8], [3, 4, 5, 7], [0], [9], [1], [6]]",10,0,0.048421,0," [[2, 8], [3, 4, 5, 7], [0], [9], [1], [6]]"
eilon10_3 , Comp ,10,6,0.3,0.5,10,0.108132,0," [[1, 2], [7], [9], [0, 4], [3, 5, 8], [6]]",10,0,0.064425,0," [[0, 5, 7], [1, 2, 6], [4], [8], [9], [3]]",10,0,0.063568,0," [[0, 5, 7], [1, 2, 6], [4], [8], [9], [3]]"
eilon10_4 , Comp ,10,6,0.3,0.5,10,0.086463,0," [[1], [3, 7], [2, 6], [4], [8], [0, 5, 9]]",10,0,0.049863,0," [[3, 6, 7], [1, 4, 5], [9], [0], [8], [2]]",10,0,0.05207,0," [[3, 6, 7], [1, 4, 5], [9], [0], [8], [2]]"
eilon10_5 , Comp ,10,6,0.3,0.5,10,0.364861,0," [[1, 2, 3], [5], [7, 8], [6], [4], [0, 9]]",10,0,0.049169,0," [[0, 5, 7], [2, 3, 4], [8], [1], [9], [6]]",10,0,0.049376,0," [[0, 5, 7], [2, 3, 4], [8], [1], [9], [6]]"
eilon20_1 , Comp ,20,2,0.1,0.3,7,0.715083,0," [[2, 17], [3, 6, 8, 10, 12]]",7,0,0.174527,0," [[3, 6, 8, 10, 12], [2, 17]]",7,0,0.172622,0," [[3, 6, 8, 10, 12], [2, 17]]"
eilon20_2 , Comp ,20,2,0.1,0.3,8,0.542676,0," [[2, 4, 10, 17], [9, 11, 13, 18]]",8,0,0.12567,0," [[2, 4, 10, 17], [9, 11, 13, 18]]",8,0,0.172452,0," [[2, 4, 10, 17], [9, 11, 13, 18]]"
eilon20_3 , Comp ,20,2,0.1,0.3,7,0.692633,0," [[5, 8, 11, 16], [4, 17, 19]]",7,1,0.14158,0," [[4, 17, 19], [5, 8, 11, 16]]",7,1,0.155305,0," [[4, 17, 19], [5, 8, 11, 16]]"
eilon20_4 , Comp ,20,2,0.1,0.3,6,0.738499,0," [[9, 10], [6, 12, 14, 18]]",6,0,0.151277,0," [[6, 12, 14, 18], [9, 10]]",6,0,0.162982,0," [[6, 12, 14, 18], [9, 10]]"
eilon20_5 , Comp ,20,2,0.1,0.3,5,0.816576,0," [[7, 11], [5, 13, 14]]",5,0,0.196369,0," [[5, 7, 11], [0, 1]]",5,0,0.186744,0," [[5, 7, 11], [0, 1]]"
eilon20_1 , Comp ,20,6,0.1,0.3,9,80.617731,0," [[13, 16], [10, 12], [17], [2], [6], [3, 8]]",9,2,0.723551,0," [[13, 16], [17], [2], [11], [10], [3, 8, 12]]",9,2,0.757598,0," [[13, 16], [17], [2], [11], [10], [3, 8, 12]]"
eilon20_2 , Comp ,20,6,0.1,0.3,10,39.796288,0," [[9, 11, 13, 18], [4, 10], [2], [17], [14], [16]]",10,0,0.487216,0," [[11, 13, 18], [2, 4, 17], [9], [10], [14], [16]]",10,0,0.471356,0," [[11, 13, 18], [2, 4, 17], [9], [10], [14], [16]]"
eilon20_3 , Comp ,20,6,0.1,0.3,9,8.361478,0," [[11, 16], [4], [7], [5, 8], [12], [17, 19]]",9,0,0.570808,0," [[4], [5], [7, 12], [8, 16], [11], [17, 19]]",9,0,0.587973,0," [[4], [5], [7, 12], [8, 16], [11], [17, 19]]"
eilon20_4 , Comp ,20,6,0.1,0.3,8,12.487408,0," [[11], [4], [9], [10], [14, 18], [6, 12]]",8,0,0.542874,0," [[4], [6], [10], [12, 14, 18], [11], [9]]",8,0,0.564603,0," [[4], [6], [10], [12, 14, 18], [11], [9]]"
eilon20_5 , Comp ,20,6,0.1,0.3,7,11.840991,0," [[0], [11], [13], [1], [5, 14], [7]]",7,0,0.699811,0," [[11], [14], [5, 13], [7], [1], [0]]",7,0,0.79177,0," [[11], [14], [5, 13], [7], [1], [0]]"
eilon20_1 , Comp ,20,10,0.1,0.3,0,1803.666983,1, [],0,0,2.342617,1, [],0,0,2.383923,1, []
eilon20_2 , Comp ,20,10,0.1,0.3,10,429.878342,0," [[16], [2], [17], [9], [11], [10], [13], [4], [14], [18]]",10,0,1.807408,0," [[4], [11], [10], [16], [2], [14], [13], [9], [18], [17]]",10,0,1.819799,0," [[4], [11], [10], [16], [2], [14], [13], [9], [18], [17]]"
eilon20_3 , Comp ,20,10,0.1,0.3,0,14.379503,1, [],0,0,1.466014,1, [],0,0,1.570315,1, []
eilon20_4 , Comp ,20,10,0.1,0.3,0,10.370398,1, [],0,0,1.755897,1, [],0,0,1.903836,1, []
eilon20_5 , Comp ,20,10,0.1,0.3,0,9.040309,1, [],0,0,2.837104,1, [],0,0,2.960821,1, []
eilon20_1 , Comp ,20,2,0.1,0.5,7,0.786292,0," [[11, 18], [3, 6, 8, 10, 12]]",7,0,0.1046,0," [[3, 6, 8, 10, 12], [11, 17]]",7,0,0.106351,0," [[3, 6, 8, 10, 12], [11, 17]]"
eilon20_2 , Comp ,20,2,0.1,0.5,8,1.057441,0," [[9, 11, 13, 18], [2, 4, 10, 17]]",8,0,0.082712,0," [[2, 4, 10, 17], [9, 11, 13, 18]]",8,0,0.090767,0," [[2, 4, 10, 17], [9, 11, 13, 18]]"
eilon20_3 , Comp ,20,2,0.1,0.5,8,0.849971,0," [[5, 8, 11, 16], [0, 13, 14, 18]]",8,0,0.082556,0," [[0, 13, 14, 18], [5, 8, 11, 16]]",8,0,0.083521,0," [[0, 13, 14, 18], [5, 8, 11, 16]]"
eilon20_4 , Comp ,20,2,0.1,0.5,7,1.066715,0," [[0, 9, 10], [6, 12, 14, 18]]",7,0,0.083588,0," [[6, 12, 14, 18], [0, 9, 10]]",7,0,0.09694,0," [[6, 12, 14, 18], [0, 9, 10]]"
eilon20_5 , Comp ,20,2,0.1,0.5,5,0.872276,0," [[5, 7, 14], [4, 17]]",5,0,0.107413,0," [[5, 7, 11], [13, 14]]",5,0,0.119141,0," [[5, 7, 11], [13, 14]]"
eilon20_1 , Comp ,20,6,0.1,0.5,12,37.83514,0," [[6, 13], [2, 17], [9], [11, 18], [8, 16], [3, 10, 12]]",12,0,0.258376,0," [[3, 6, 8, 12], [11, 18], [2, 17], [13, 16], [1], [10]]",12,0,0.282062,0," [[3, 6, 8, 12], [11, 18], [2, 17], [13, 16], [1], [10]]"
eilon20_2 , Comp ,20,6,0.1,0.5,13,42.819247,0," [[1, 6], [7, 8, 14], [2, 10, 13], [16], [0, 3], [4, 17]]",12,0,0.238676,0," [[16], [10, 13, 17], [0], [7, 8, 14], [1, 6], [2, 4]]",12,0,0.255503,0," [[16], [10, 13, 17], [0], [7, 8, 14], [1, 6], [2, 4]]"
eilon20_3 , Comp ,20,6,0.1,0.5,12,132.646328,0," [[5, 8, 11, 16], [4, 17], [14], [1], [9], [0, 13, 18]]",12,0,0.232458,0," [[8, 11, 16], [0, 13], [4, 5, 17], [14], [9, 18], [1]]",12,0,0.25771,0," [[8, 11, 16], [0, 13], [4, 5, 17], [14], [9, 18], [1]]"
eilon20_4 , Comp ,20,6,0.1,0.5,12,61.731013,0," [[11], [3, 19], [0, 9, 10], [1, 14], [6, 12, 18], [7]]",12,0,0.2163,0," [[11], [0, 19], [6, 12, 14, 18], [3], [9, 10], [1, 7]]",12,0,0.243784,0," [[11], [0, 19], [6, 12, 14, 18], [3], [9, 10], [1, 7]]"
eilon20_5 , Comp ,20,6,0.1,0.5,9,35.078827,0," [[4], [1], [0], [17], [7, 11], [5, 13, 14]]",9,0,0.262174,0," [[10], [2, 9], [19], [17], [4, 16], [0, 1]]",9,0,0.290596,0," [[10], [2, 9], [19], [17], [4, 16], [0, 1]]"
