"Instance,GraphType,n,p,R,r,obj_NL,time_NL,gap_NL,C_NL,obj_IP1, numcuts_IP1 , TotalT_IP1,gap_IP1;C_IP1,obj_IP2, numcuts_IP2 , TotalT_IP2,gap_IP2,C_IP2"
"eilon10_3 ,Star-Ring,10,2,0.2,0.5,6,0.086023,0, [[4, 6, 9], [1, 3, 8]],6,0,0.017094,0; [[1, 3, 8], [4, 6, 9]],6,0,0.018098,0, [[1, 3, 8], [4, 6, 9]]"
"eilon10_4 ,Star-Ring,10,2,0.2,0.5,6,0.153756,0, [[1, 5, 8, 9], [3, 6]],6,0,0.014301,0; [[6, 7], [1, 5, 8, 9]],6,0,0.014627,0, [[6, 7], [1, 5, 8, 9]]"
"eilon10_5 ,Star-Ring,10,2,0.2,0.5,5,0.109993,0, [[1, 8], [3, 4, 6]],5,0,0.015163,0; [[1, 2, 6], [0, 3]],5,0,0.016271,0, [[1, 2, 6], [0, 3]]"
"eilon10_1 ,Star-Ring,10,6,0.2,0.5,10,1.149346,0, [[1], [3], [0, 7], [4, 6, 8, 9], [5], [2]],10,1,0.072156,0; [[1], [2, 5], [3], [0, 7], [4], [6, 8, 9]],10,1,0.081265,0, [[1], [2, 5], [3], [0, 7], [4], [6, 8, 9]]"
"eilon10_2 ,Star-Ring,10,6,0.2,0.5,10,0.384731,0, [[2], [3, 5, 8, 9], [1, 6], [4], [0], [7]],10,0,0.043994,0; [[1, 2], [4], [3, 5, 8, 9], [6], [7], [0]],10,0,0.038054,0, [[1, 2], [4], [3, 5, 8, 9], [6], [7], [0]]"
"eilon10_3 ,Star-Ring,10,6,0.2,0.5,10,0.133029,0, [[1, 8], [5], [3], [0, 7], [2, 6, 9], [4]],10,0,0.034304,0; [[3, 8], [4, 6, 9], [2], [1], [0, 7], [5]],10,0,0.035381,0, [[3, 8], [4, 6, 9], [2], [1], [0, 7], [5]]"
"eilon10_4 ,Star-Ring,10,6,0.2,0.5,10,0.387654,0, [[3], [2], [1, 5], [0, 4, 8], [9], [6, 7]],10,0,0.031681,0; [[6, 7], [2, 3], [1], [9], [0, 4], [5, 8]],10,0,0.0331,0, [[6, 7], [2, 3], [1], [9], [0, 4], [5, 8]]"
"eilon10_5 ,Star-Ring,10,6,0.2,0.5,10,0.281363,0, [[2], [0, 5], [3, 4, 6], [8], [1], [7, 9]],10,0,0.038224,0; [[4, 6], [3], [1, 2], [0, 5], [7, 9], [8]],10,0,0.04132,0, [[4, 6], [3], [1, 2], [0, 5], [7, 9], [8]]"
"eilon10_1 ,Star-Ring,10,2,0.3,0.2,5,0.103474,0, [[4, 6, 8, 9], [2]],5,0,0.033183,0; [[4, 6, 8, 9], [2]],5,0,0.036757,0, [[4, 6, 8, 9], [2]]"
"eilon10_2 ,Star-Ring,10,2,0.3,0.2,8,0.108393,0, [[3, 5, 7], [1, 2, 6, 8, 9]],8,0,0.027147,0; [[1, 2, 6], [3, 5, 7, 8, 9]],8,0,0.031725,0, [[1, 2, 6], [3, 5, 7, 8, 9]]"
