Instance,GraphType, n , p , R , r ,obj_NL,Time_NL,gap_NL,C_NL,obj_IP1,numcuts_IP1,TotalT_IP1,GAP_IP1,C_IP1,obj_IP2 ,numcuts_IP2 ,TotalT_IP2,GAP_IP2,C_IP2
eilon40_5 , Line ,40,10,0.2,0.5,40,21.977111,0," [[9, 15, 24], [11, 19, 37, 38], [1, 13, 39], [6, 7, 16, 23, 31, 33], [0, 8, 27, 34, 36], [10, 12, 14, 20], [3, 17, 18, 25, 26, 28, 30, 32], [35], [2, 5, 22, 29], [4, 21]]",40,8,1.498841,0," [[1, 8, 9, 13, 15, 24, 39], [11, 32, 38], [0, 36], [10, 12, 19, 20, 37], [5, 27, 34], [4, 7, 31], [6, 21, 29, 35], [3, 18, 25, 28, 30], [14], [2, 16, 17, 22, 23, 26, 33]]",40,8,1.544597,0," [[1, 8, 9, 13, 15, 24, 39], [11, 32, 38], [0, 36], [10, 12, 19, 20, 37], [5, 27, 34], [4, 7, 31], [6, 21, 29, 35], [3, 18, 25, 28, 30], [14], [2, 16, 17, 22, 23, 26, 33]]"
eilon40_1 , Line ,40,2,0.3,0.3,23,8.829221,0," [[1, 4, 8, 14, 17, 20, 30, 32, 33, 37], [0, 6, 9, 10, 13, 15, 16, 25, 27, 29, 31, 38, 39]]",23,678,18.44852,0," [[6, 8, 10, 13, 15, 18, 25, 27, 29, 31, 37, 38], [1, 4, 9, 14, 16, 17, 20, 30, 32, 33, 34]]",23,678,18.650673,0," [[6, 8, 10, 13, 15, 18, 25, 27, 29, 31, 37, 38], [1, 4, 9, 14, 16, 17, 20, 30, 32, 33, 34]]"
eilon40_2 , Line ,40,2,0.3,0.3,25,6.611329,0," [[3, 4, 6, 8, 10, 13, 16, 18, 21, 23, 27, 30, 31, 32, 34, 35], [1, 2, 14, 19, 20, 22, 24, 36, 39]]",25,8107,306.911473,0," [[1, 2, 4, 14, 20, 22, 29, 34, 38], [6, 8, 10, 13, 16, 17, 18, 21, 23, 24, 27, 30, 32, 35, 36, 39]]",25,8107,306.822693,0," [[1, 2, 4, 14, 20, 22, 29, 34, 38], [6, 8, 10, 13, 16, 17, 18, 21, 23, 24, 27, 30, 32, 35, 36, 39]]"
eilon40_3 , Line ,40,2,0.3,0.3,25,10.969801,0," [[1, 2, 4, 6, 10, 15, 19, 25, 32, 39], [5, 9, 11, 12, 14, 17, 18, 20, 21, 22, 26, 27, 31, 33, 35]]",25,376,12.010663,0," [[1, 2, 4, 6, 9, 10, 15, 18, 19, 25, 32, 39], [5, 11, 12, 14, 17, 20, 21, 22, 26, 27, 31, 33, 35]]",25,376,12.278623,0," [[1, 2, 4, 6, 9, 10, 15, 18, 19, 25, 32, 39], [5, 11, 12, 14, 17, 20, 21, 22, 26, 27, 31, 33, 35]]"
eilon40_4 , Line ,40,2,0.3,0.3,26,6.442597,0," [[0, 2, 5, 7, 9, 14, 18, 19, 20, 22, 24, 27, 28, 29, 31, 35], [1, 3, 11, 15, 16, 17, 23, 26, 37, 39]]",26,7907,260.199182,0," [[6, 13, 16, 20, 24, 27, 30, 32, 33, 34], [0, 1, 2, 3, 5, 9, 14, 15, 18, 19, 26, 28, 29, 35, 37, 39]]",26,7907,257.368423,0," [[6, 13, 16, 20, 24, 27, 30, 32, 33, 34], [0, 1, 2, 3, 5, 9, 14, 15, 18, 19, 26, 28, 29, 35, 37, 39]]"
eilon40_5 , Line ,40,2,0.3,0.3,25,6.250166,0," [[0, 1, 8, 9, 11, 13, 15, 22, 27, 34, 36, 38], [2, 5, 6, 7, 16, 17, 23, 26, 31, 32, 33, 35, 39]]",25,387,12.715008,0," [[2, 5, 6, 7, 16, 17, 22, 23, 26, 31, 32, 33, 35, 39], [0, 1, 8, 9, 11, 13, 15, 27, 34, 36, 38]]",25,387,12.976635,0," [[2, 5, 6, 7, 16, 17, 22, 23, 26, 31, 32, 33, 35, 39], [0, 1, 8, 9, 11, 13, 15, 27, 34, 36, 38]]"
eilon40_1 , Line ,40,6,0.3,0.3,40,19.968828,0," [[3, 7, 19, 24, 28, 35], [2, 5, 11, 18, 21, 22, 31, 36, 38], [8, 10, 29, 37], [0, 6, 12, 15, 23, 26, 39], [20, 25], [1, 4, 9, 13, 14, 16, 17, 27, 30, 32, 33, 34]]",40,177,10.049697,0," [[3, 7, 8, 17, 19, 28, 32, 34, 35], [2, 15, 27, 31, 38], [5, 11, 18, 21, 22, 24, 36], [0, 6, 10, 12, 23, 25, 29, 37, 39], [13, 16, 26], [1, 4, 9, 14, 20, 30, 33]]",40,177,10.193523,0," [[3, 7, 8, 17, 19, 28, 32, 34, 35], [2, 15, 27, 31, 38], [5, 11, 18, 21, 22, 24, 36], [0, 6, 10, 12, 23, 25, 29, 37, 39], [13, 16, 26], [1, 4, 9, 14, 20, 30, 33]]"
eilon40_2 , Line ,40,6,0.3,0.3,40,18.765637,0," [[0, 2, 5, 9, 14, 22, 28, 33], [1, 11, 12, 20, 24, 38, 39], [4, 10, 18, 29, 37], [6, 13, 16, 17, 23, 27, 30, 32, 34, 35, 36], [3, 8, 21, 25, 26], [7, 15, 19, 31]]",40,161,11.236731,0," [[11, 12, 29, 37, 38], [5, 9, 10, 14, 20, 28], [0, 2, 7, 33], [1, 4, 18, 19, 22, 24, 32, 34, 36, 39], [3, 15, 25, 26, 27], [6, 8, 13, 16, 17, 21, 23, 30, 31, 35]]",40,161,11.47195,0," [[11, 12, 29, 37, 38], [5, 9, 10, 14, 20, 28], [0, 2, 7, 33], [1, 4, 18, 19, 22, 24, 32, 34, 36, 39], [3, 15, 25, 26, 27], [6, 8, 13, 16, 17, 21, 23, 30, 31, 35]]"
eilon40_3 , Line ,40,6,0.3,0.3,40,11.152108,0," [[0, 1, 3, 5, 6, 9, 10, 14, 15, 18, 32, 33, 38], [2, 19, 25, 35, 37, 39], [4, 11, 26], [13, 21, 22, 23, 29, 36], [12, 17, 28], [7, 8, 16, 20, 24, 27, 30, 31, 34]]",40,631,31.453288,0," [[1, 4, 6, 10, 11, 14, 15, 32, 33, 38, 39], [2, 18, 19, 25, 35, 37], [9, 12, 17, 26, 27, 29, 36], [13, 22, 23, 24, 28], [7, 8, 16, 21], [0, 3, 5, 20, 30, 31, 34]]",40,631,31.527631,0," [[1, 4, 6, 10, 11, 14, 15, 32, 33, 38, 39], [2, 18, 19, 25, 35, 37], [9, 12, 17, 26, 27, 29, 36], [13, 22, 23, 24, 28], [7, 8, 16, 21], [0, 3, 5, 20, 30, 31, 34]]"
eilon40_4 , Line ,40,6,0.3,0.3,40,22.236873,0," [[13, 21, 30, 37, 38, 39], [4, 5, 6, 18, 20, 32, 33, 34, 36], [1, 16, 24, 25, 26], [11, 15, 27], [7, 10, 12, 14, 22, 23, 29, 31], [0, 2, 3, 8, 9, 17, 19, 28, 35]]",40,1866,91.364319,0," [[0, 2, 8, 17, 23, 26, 28, 35], [3, 9, 11, 19, 37], [1, 13, 15, 21, 25, 30, 33, 38, 39], [5, 14, 16, 18, 20, 29, 32], [4, 6, 24, 31, 34, 36], [7, 10, 12, 22, 27]]",40,1866,92.048414,0," [[0, 2, 8, 17, 23, 26, 28, 35], [3, 9, 11, 19, 37], [1, 13, 15, 21, 25, 30, 33, 38, 39], [5, 14, 16, 18, 20, 29, 32], [4, 6, 24, 31, 34, 36], [7, 10, 12, 22, 27]]"
eilon40_5 , Line ,40,6,0.3,0.3,40,6.507177,0," [[1, 4, 5, 6, 7, 21, 22, 29, 31, 35], [8, 9, 13, 24], [2, 15, 16, 23, 26, 27, 32, 33, 39], [0, 14, 36], [10, 12, 19, 34, 37, 38], [3, 11, 17, 18, 20, 25, 28, 30]]",40,6212,345.676737,0," [[0, 8, 14, 36], [3, 10, 11, 12, 19, 20, 34, 37], [16, 18, 25, 28, 30, 32], [1, 15, 17, 22, 23, 26, 27, 38, 39], [5, 9, 13, 24], [2, 4, 6, 7, 21, 29, 31, 33, 35]]",40,6212,345.963423,0," [[0, 8, 14, 36], [3, 10, 11, 12, 19, 20, 34, 37], [16, 18, 25, 28, 30, 32], [1, 15, 17, 22, 23, 26, 27, 38, 39], [5, 9, 13, 24], [2, 4, 6, 7, 21, 29, 31, 33, 35]]"
eilon40_1 , Line ,40,10,0.3,0.3,40,22.935889,0," [[37], [2, 5, 22, 24], [3, 17, 34], [1, 19, 28], [33, 35], [7, 29], [11, 21, 36, 38], [8, 18, 27, 31, 32], [4, 9, 13, 14, 16, 20, 30], [0, 6, 10, 12, 15, 23, 25, 26, 39]]",40,488,26.209695,0," [[3, 7, 8, 17, 19, 27, 28, 32, 34, 35], [10, 13, 18, 25, 31, 38], [0, 2, 5, 29], [14], [26, 37, 39], [36], [11, 21, 22, 24], [12, 15, 23], [6, 16], [1, 4, 9, 20, 30, 33]]",40,488,26.235068,0," [[3, 7, 8, 17, 19, 27, 28, 32, 34, 35], [10, 13, 18, 25, 31, 38], [0, 2, 5, 29], [14], [26, 37, 39], [36], [11, 21, 22, 24], [12, 15, 23], [6, 16], [1, 4, 9, 20, 30, 33]]"
